latitud,longitud,farm_id,objeto,calle,altura,direc_norm,direc_arcg,telefono,obs_telefono,barrio,comuna
-584.589.471.909.313,-346.041.817.505.499,330,FARMACIA,AV SAN MARTIN,2211,SAN MARTIN AV. 2211,2211 SAN MARTIN AV.,4581-0308,,PATERNAL,15
-584.664.980.785.033,-345.989.119.578.746,897,FARMACIA,TRELLES,2596,"TRELLES, MANUEL R. AV. 2596","2596 TRELLES, MANUEL R. AV.",4584-9300,INT 219,PATERNAL,15
-584.682.449.537.755,-345.941.931.334.147,604,FARMACIA,DR. RAFAEL BIELSA (EX MORLOTE),300,"BIELSA, RAFAEL, DR. 300","300 BIELSA, RAFAEL, DR.",4553-0884,,PATERNAL,15
-584.744.470.215.369,-345.965.977.331.471,990,FARMACIA,AV WARNES,2707,WARNES AV. 2707,2707 WARNES AV.,,,PATERNAL,15
-58.461.248.692.724,-346.035.916.901.672,1259,FARMACIA,AV SAN MARTIN,2399,SAN MARTIN AV. 2399,2399 SAN MARTIN AV.,4514-7950,4585-5254,PATERNAL,15
-584.395.623.922.373,-345.956.962.732.221,29,FARMACIA,GURRUCHAGA,684,GURRUCHAGA 684,684 GURRUCHAGA,4854-9402,,VILLA CRESPO,15
-584.331.376.023.688,-345.960.412.656,35,FARMACIA,AV RAUL SCALABRINI ORTIZ,840,"SCALABRINI ORTIZ, RAUL AV. 840","840 SCALABRINI ORTIZ, RAUL AV.",4773-1347,,VILLA CRESPO,15
-58.434.830.782.628,-346.006.735.767.969,44,FARMACIA,J. RAMIREZ DE VELAZCO,240,"RAMIREZ DE VELASCO, JUAN 240","240 RAMIREZ DE VELASCO, JUAN",4856-0837,,VILLA CRESPO,15
-584.449.744.920.963,-346.069.440.125.422,123,FARMACIA,AV ANGEL GALLARDO,1071,"GALLARDO, ANGEL AV. 1071","1071 GALLARDO, ANGEL AV.",4854-0033,,VILLA CRESPO,15
-584.431.368.298.588,-345.997.391.327.949,159,FARMACIA,PADILLA,720,PADILLA 720,720 PADILLA,4857-3973,,VILLA CRESPO,15
-58.441.817.990.533,-346.041.869.588.628,185,FARMACIA,MAHATMA GANDHI,397,"GANDHI, MAHATMA 397","397 GANDHI, MAHATMA",,,VILLA CRESPO,15
-584.418.170.789.474,-345.968.095.552.312,228,FARMACIA,AV CORRIENTES,5541,CORRIENTES AV. 5541,5541 CORRIENTES AV.,4855-9367,,VILLA CRESPO,15
-584.539.366.108.133,-346.011.793.056.265,243,FARMACIA,AV JUAN B. JUSTO,3485,"JUSTO, JUAN B. AV. 3485","3485 JUSTO, JUAN B. AV.",4584-7347,,VILLA CRESPO,15
-584.450.212.355.497,-345.938.438.628.299,298,FARMACIA,AV CORRIENTES,5901,CORRIENTES AV. 5901,5901 CORRIENTES AV.,4854-6842,,VILLA CRESPO,15
-584.362.009.026.116,-346.008.893.593.334,326,FARMACIA,AV CORRIENTES,5000,CORRIENTES AV. 5000,5000 CORRIENTES AV.,4854-5251,,VILLA CRESPO,15
-584.304.226.936.506,-345.997.339.332.345,388,FARMACIA,AV ESTADO DE ISRAEL,4601,ESTADO DE ISRAEL AV. 4601,4601 ESTADO DE ISRAEL AV.,4855-7767,,VILLA CRESPO,15
-584.374.695.554.335,-345.973.748.726.971,522,FARMACIA,JUAN RAMIREZ DE VELAZCO,603,"RAMIREZ DE VELASCO, JUAN 603","603 RAMIREZ DE VELASCO, JUAN",4774-1994,,VILLA CRESPO,15
-584.498.502.500.342,-346.045.925.679.645,534,FARMACIA,GALICIA,601,GALICIA 601,601 GALICIA,4584-9625,,VILLA CRESPO,15
-584.384.108.267.194,-345.994.388.945.124,1391,FARMACIA,AV RAUL SCALABRINI ORTIZ,328,"SCALABRINI ORTIZ, RAUL AV. 328","328 SCALABRINI ORTIZ, RAUL AV.",4854-7395,,VILLA CRESPO,15
-584.249.760.499.681,-345.972.097.633.385,593,FARMACIA,AV CORDOBA,4102,CORDOBA AV. 4102,4102 CORDOBA AV.,4862-9051,,VILLA CRESPO,15
-584.422.472.524.181,-346.018.085.988.301,643,FARMACIA,AV RAUL SCALABRINI ORTIZ,14,"SCALABRINI ORTIZ, RAUL AV. 14","14 SCALABRINI ORTIZ, RAUL AV.",4854-3069,,VILLA CRESPO,15
-584.577.101.665.164,-346.045.021.131.072,826,FARMACIA,AV SAN MARTIN.,2159,SAN MARTIN AV. 2159,2159 SAN MARTIN AV.,4588-1778,,VILLA CRESPO,15
-584.417.748.152.232,-345.927.755.799.224,866,FARMACIA,AV JUAN B. JUSTO,2291,"JUSTO, JUAN B. AV. 2291","2291 JUSTO, JUAN B. AV.",4855-5263,,VILLA CRESPO,15
-5.844.014.107.789,-346.056.602.750.628,881,FARMACIA,AV ANGEL GALLARDO,677,"GALLARDO, ANGEL AV. 677","677 GALLARDO, ANGEL AV.",,,VILLA CRESPO,15
-584.396.517.787.533,-345.993.404.181.869,993,FARMACIA,AV CORRIENTES,5288,CORRIENTES AV. 5288,5288 CORRIENTES AV.,,,VILLA CRESPO,15
-58.444.274.825.605,-345.945.229.759.416,1023,FARMACIA,AV CORRIENTES,5801,CORRIENTES AV. 5801,5801 CORRIENTES AV.,,,VILLA CRESPO,15
-584.459.868.200.917,-346.073.096.955.312,1031,FARMACIA,AV GAONA,1101,GAONA AV. 1101,1101 GAONA AV.,,,VILLA CRESPO,15
-584.363.581.509.337,-345.924.201.083.384,1080,FARMACIA,SERRANO,1044,SERRANO 1044,1044 SERRANO,4899-1111,,VILLA CRESPO,15
-584.385.408.782.501,-345.984.401.285.355,1087,FARMACIA,MALABIA,487,MALABIA 487,487 MALABIA,4857-5505,,VILLA CRESPO,15
-584.463.345.977.191,-345.931.429.119.257,1091,FARMACIA,AV CORRIENTES,6042,CORRIENTES AV. 6042,6042 CORRIENTES AV.,4856-7330,,VILLA CRESPO,15
-584.439.723.210.618,-345.953.395.730.263,1150,FARMACIA,AV CORRIENTES,5736,CORRIENTES AV. 5736,5736 CORRIENTES AV.,4854-8811,,VILLA CRESPO,15
-584.577.968.723.731,-346.044.811.995.538,1200,FARMACIA,AV SAN MARTIN,2165,SAN MARTIN AV. 2165,2165 SAN MARTIN AV.,4584-8010,,VILLA CRESPO,15
-58.439.420.641.206,-345.990.220.603.235,1226,FARMACIA,AV CORRIENTES,5283,CORRIENTES AV. 5283,5283 CORRIENTES AV.,4855-7343,,VILLA CRESPO,15
-584.545.997.501.005,-346.053.097.593.449,1281,FARMACIA,AV SAN MARTIN,1851,SAN MARTIN AV. 1851,1851 SAN MARTIN AV.,4584-2733,/2758,VILLA CRESPO,15
-584.368.574.008.189,-345.988.816.187.831,1285,FARMACIA,AV RAUL SCALABRINI ORTIZ,461,"SCALABRINI ORTIZ, RAUL AV. 461","461 SCALABRINI ORTIZ, RAUL AV.",4854-7460,,VILLA CRESPO,15
-584.383.346.637.845,-345.968.736.728.867,1299,FARMACIA,J. RAMIREZ DE VELAZCO,692,"RAMIREZ DE VELASCO, JUAN 692","692 RAMIREZ DE VELASCO, JUAN",4856-5221,,VILLA CRESPO,15
-584.539.040.486.498,-346.011.679.523.153,1327,FARMACIA,AV JUAN B. JUSTO,3483,"JUSTO, JUAN B. AV. 3483","3483 JUSTO, JUAN B. AV.",458-4831,,VILLA CRESPO,15
-584.534.885.974.639,-346.056.375.783.171,1363,FARMACIA,AV SAN MARTIN,1755,SAN MARTIN AV. 1755,1755 SAN MARTIN AV.,,,VILLA CRESPO,15
-58.452.318.709.186,-346.058.991.225.658,1380,FARMACIA,AV SAN MARTIN,1631,SAN MARTIN AV. 1631,1631 SAN MARTIN AV.,4654-3802,4658-6810,VILLA CRESPO,15
-584.478.850.052.761,-346.048.559.629.604,1454,FARMACIA,HONORIO PUEYRREDON,1400,"PUEYRREDON, HONORIO, DR. AV. 1400","1400 PUEYRREDON, HONORIO, DR. AV.",4854-3069,,VILLA CRESPO,15
-584.465.343.015.566,-345.960.707.270.547,1475,FARMACIA,AV JUAN B. JUSTO,2787,"JUSTO, JUAN B. AV. 2787","2787 JUSTO, JUAN B. AV.",4854-5657,,VILLA CRESPO,15
-584.338.704.159.601,-345.993.636.219.343,1516,FARMACIA,JULIAN ALVAREZ,601,"ALVAREZ, JULIAN 601","601 ALVAREZ, JULIAN",4857-3733,,VILLA CRESPO,15
-584.456.148.866.427,-345.974.469.202.934,1527,FARMACIA,PADILLA,992,PADILLA 992,992 PADILLA,4856-7476,,VILLA CRESPO,15
-58.475.430.633.001,-346.059.650.568.962,11,FARMACIA,AV ALVAREZ JONTE,2311,ALVAREZ JONTE 2311,2311 ALVAREZ JONTE,4588-2587,,VILLA DEL PARQUE,11
-58.501.166.057.174,-346.040.081.487.804,45,FARMACIA,TINOGASTA,3702,TINOGASTA 3702,3702 TINOGASTA,4501-5871,,VILLA DEL PARQUE,11
-584.974.553.945.313,-345.972.578.643.562,155,FARMACIA,AV BEIRO FRANCISCO,3160,"BEIRO, FRANCISCO AV. 3160","3160 BEIRO, FRANCISCO AV.",4502-1300,/2300,VILLA DEL PARQUE,11
-584.896.697.232.187,-3.460.149.479.502,158,FARMACIA,AV NAZCA,3001,NAZCA AV. 3001,3001 NAZCA AV.,4502-2661,,VILLA DEL PARQUE,11
-584.901.844.291.346,-346.093.239.633.273,316,FARMACIA,CAMPANA,2323,CAMPANA 2323,2323 CAMPANA,,,VILLA DEL PARQUE,11
-584.942.364.479.559,-345.971.713.221.446,390,FARMACIA,AV SAN MARTIN,5468,SAN MARTIN AV. 5468,5468 SAN MARTIN AV.,4504-9388,/9389,VILLA DEL PARQUE,11
-584.973.765.849.469,-346.059.643.072.358,417,FARMACIA,CONCORDIA,2707,CONCORDIA 2707,2707 CONCORDIA,4505-2550,,VILLA DEL PARQUE,11
-58.491.416.690.958,-346.058.387.792.144,421,FARMACIA,CUENCA,2581,CUENCA 2581,2581 CUENCA,4501-4941,,VILLA DEL PARQUE,11
-584.927.131.869.402,-346.032.105.357.026,429,FARMACIA,NOGOYA,3141,NOGOYA 3141,3141 NOGOYA,4502-0600,4501-0400,VILLA DEL PARQUE,11
-584.877.668.157.461,-346.042.492.646.573,531,FARMACIA,AV NAZCA,2746,NAZCA AV. 2746,2746 NAZCA AV.,4502-5047,,VILLA DEL PARQUE,11
-584.772.049.682.219,-346.069.941.902.993,641,FARMACIA,ALVAREZ JONTE,2475,ALVAREZ JONTE 2475,2475 ALVAREZ JONTE,4581-2966,,VILLA DEL PARQUE,11
-584.864.660.985.559,-346.057.217.279.798,743,FARMACIA,AV NAZCA,2602,NAZCA AV. 2602,2602 NAZCA AV.,4501-9111,,VILLA DEL PARQUE,11
-584.938.725.421.476,-346.133.141.810.644,938,FARMACIA,AV ALVAREZ JONTE,3721,ALVAREZ JONTE AV. 3721,3721 ALVAREZ JONTE AV.,4639-8445,/46,VILLA DEL PARQUE,11
-584.833.164.257.857,-346.087.046.890.065,958,FARMACIA,AV NAZCA,2301,NAZCA AV. 2301,2301 NAZCA AV.,,,VILLA DEL PARQUE,11
-58.494.026.805.281,-346.027.224.295.511,1005,FARMACIA,CUENCA,2901,CUENCA 2901,2901 CUENCA,,,VILLA DEL PARQUE,11
-585.029.682.426.189,-346.006.299.142.003,1039,FARMACIA,AV BEIRO FRANCISCO,3562,"BEIRO, FRANCISCO AV. 3562","3562 BEIRO, FRANCISCO AV.",,,VILLA DEL PARQUE,11
-584.954.480.862.423,-346.008.249.954.451,1070,FARMACIA,CUENCA,3149,CUENCA 3149,3149 CUENCA,,,VILLA DEL PARQUE,11
-584.837.228.330.402,-346.087.960.763.261,1217,FARMACIA,ALVAREZ JONTE,2901,ALVAREZ JONTE AV. 2901,2901 ALVAREZ JONTE AV.,4502-6061,,VILLA DEL PARQUE,11
-584.973.908.654.296,-34.598.897.674.685,1223,FARMACIA,CUENCA,3384,CUENCA 3384,3384 CUENCA,4503-3225,,VILLA DEL PARQUE,11
-584.926.345.156.684,-346.044.485.653.826,1334,FARMACIA,CUENCA,2717,CUENCA 2717,2717 CUENCA,4501-0605,,VILLA DEL PARQUE,11
-584.922.324.938.877,-34.607.609.314.008,1365,FARMACIA,CAMPANA,2502,CAMPANA 2502,2502 CAMPANA,4504-3441,,VILLA DEL PARQUE,11
-585.036.402.927.839,-346.010.299.816.558,1379,FARMACIA,AV BEIRO FRANCISCO,3602,"BEIRO, FRANCISCO AV. 3602","3602 BEIRO, FRANCISCO AV.",4505-1010,/2599,VILLA DEL PARQUE,11
-584.953.143.946.593,-346.140.461.708.146,1443,FARMACIA,ALVAREZ JONTE,3873,ALVAREZ JONTE AV. 3873,3873 ALVAREZ JONTE AV.,4568-3188,,VILLA DEL PARQUE,11
-584.946.040.478.298,-346.020.275.760.201,1138,FARMACIA,CUENCA,3005,CUENCA 3005,3005 CUENCA,4505-2242,/2252,VILLA DEL PARQUE,11
-584.152.453.389.313,-346.206.913.507.133,24,FARMACIA,AV INDEPENDENCIA,3501,INDEPENDENCIA AV. 3501,3501 INDEPENDENCIA AV.,4729-2660,4729-2670,ALMAGRO,5
-584.162.678.889.159,-346.038.734.260.704,43,FARMACIA,AV CORRIENTES,3650,CORRIENTES AV. 3650,3650 CORRIENTES AV.,4862-6424,,ALMAGRO,5
-584.148.545.366.559,-346.045.315.422.879,51,FARMACIA,SANCHEZ DE BUSTAMANTE,462,SANCHEZ DE BUSTAMANTE 462,462 SANCHEZ DE BUSTAMANTE,4862-1594,,ALMAGRO,5
-58.415.824.613.911,-346.143.140.863.262,66,FARMACIA,MORENO,3489,MORENO 3489,3489 MORENO,4863-3815,,ALMAGRO,5
-58.421.105.836.378,-346.058.646.559.658,74,FARMACIA,TENIENTE GENERAL JUAN D PERON,3899,"PERON, JUAN DOMINGO, TTE. GENERAL 3899","3899 PERON, JUAN DOMINGO, TTE. GENERAL",4866-1040,,ALMAGRO,5
-584.300.208.171.897,-346.106.905.334.337,86,FARMACIA,BARTOLOME MITRE,4479,"MITRE, BARTOLOME 4479","4479 MITRE, BARTOLOME",4982-9215,,ALMAGRO,5
-584.213.735.407.535,-346.083.987.270.999,87,FARMACIA,AV DIAZ VELEZ,3899,DIAZ VELEZ AV. 3899,3899 DIAZ VELEZ AV.,4983-3717,,ALMAGRO,5
-584.189.183.776.917,-346.067.753.927.338,135,FARMACIA,TENIENTE GENERAL JUAN D PERON,3732,"PERON, JUAN DOMINGO, TTE. GENERAL 3732","3732 PERON, JUAN DOMINGO, TTE. GENERAL",4865-7741,,ALMAGRO,5
-584.165.235.586.839,-346.184.227.959.282,152,FARMACIA,AV BOEDO,500,BOEDO AV. 500,500 BOEDO AV.,4931-3326,,ALMAGRO,5
-58.414.177.805.087,-346.157.031.484.916,221,FARMACIA,AV BELGRANO,3400,BELGRANO AV. 3400,3400 BELGRANO AV.,3966-3376,,ALMAGRO,5
-584.130.560.613.068,-346.152.961.582.842,232,FARMACIA,AV BELGRANO,3301,BELGRANO AV. 3301,3301 BELGRANO AV.,4864-2623,,ALMAGRO,5
-58.414.800.880.336,-34.610.941.610.501,244,FARMACIA,AV RIVADAVIA,3426,RIVADAVIA AV. 3426,3426 RIVADAVIA AV.,,,ALMAGRO,5
-584.140.365.575.914,-346.052.395.107.598,259,FARMACIA,VALENTIN GOMEZ,3444,"GOMEZ, VALENTIN 3444","3444 GOMEZ, VALENTIN",4865-6923,/2856,ALMAGRO,5
-584.132.205.951.203,-34.620.519.029.308,312,FARMACIA,AV INDEPENDENCIA,3347,INDEPENDENCIA AV. 3347,3347 INDEPENDENCIA AV.,4932-1913,,ALMAGRO,5
-584.317.036.828.905,-3.460.177.250.699,338,FARMACIA,AV ESTADO DE ISRAEL,4784,ESTADO DE ISRAEL AV. 4784,4784 ESTADO DE ISRAEL AV.,4862-4276,,ALMAGRO,5
-584.165.408.455.912,-346.183.246.987.338,462,FARMACIA,AV BOEDO,490,BOEDO AV. 490,490 BOEDO AV.,4932-9543,,ALMAGRO,5
-584.147.428.149.215,-346.057.432.476.086,486,FARMACIA,SARMIENTO,3499,SARMIENTO 3499,3499 SARMIENTO,4864-1894,,ALMAGRO,5
-584.276.388.955.399,-346.218.062.676.342,495,FARMACIA,AV LA PLATA,586,LA PLATA AV. 586,586 LA PLATA AV.,4983-5151,,ALMAGRO,5
-584.193.828.080.631,-346.031.513.552.413,548,FARMACIA,AV CORRIENTES,3895,CORRIENTES AV. 3895,3895 CORRIENTES AV.,4861-6449,,ALMAGRO,5
-58.424.697.231.408,-346.058.430.209.336,560,FARMACIA,TENIENTE GENERAL JUAN D PERON,4101,"PERON, JUAN DOMINGO, TTE. GENERAL 4101","4101 PERON, JUAN DOMINGO, TTE. GENERAL",4116-0500,,ALMAGRO,5
-584.135.438.959.811,-346.128.443.827.079,890,FARMACIA,HIPOLITO YRIGOYEN,3312,"YRIGOYEN, HIPOLITO AV. 3312","3312 YRIGOYEN, HIPOLITO AV.",4861-9869,,ALMAGRO,5
-584.202.651.324.123,-346.159.378.776.459,1409,FARMACIA,AV BELGRANO,3802,BELGRANO 3802,3802 BELGRANO,4981-3632,,ALMAGRO,5
-58.421.338.133.245,-346.114.064.250.465,569,FARMACIA,AV RIVADAVIA,3913,RIVADAVIA AV. 3913,3913 RIVADAVIA AV.,4981-4333,,ALMAGRO,5
-584.164.640.981.155,-34.603.474.763.772,591,FARMACIA,AV CORRIENTES,3687,CORRIENTES AV. 3687,3687 CORRIENTES AV.,4866-4018,,ALMAGRO,5
-584.248.147.162.368,-346.066.220.061.446,608,FARMACIA,GASCON,450,GASCON 450,450 GASCON,4959-0200,INT 4823,ALMAGRO,5
-584.261.361.282.335,-346.135.327.044.976,619,FARMACIA,AV RIVADAVIA,4299,RIVADAVIA AV. 4299,4299 RIVADAVIA AV.,4981-4433,,ALMAGRO,5
-584.304.525.422.979,-3.460.204.587.337,636,FARMACIA,AV CORRIENTES,4617,CORRIENTES AV. 4617,4617 CORRIENTES AV.,4861-2267,,ALMAGRO,5
-584.224.710.063.928,-346.122.736.080.665,648,FARMACIA,AV RIVADAVIA,4002,RIVADAVIA AV. 4002,4002 RIVADAVIA AV.,4981-5204,,ALMAGRO,5
-584.170.842.542.602,-346.111.089.727.803,717,FARMACIA,AV RIVADAVIA,3600,RIVADAVIA AV. 3600,3600 RIVADAVIA AV.,4861-3348,,ALMAGRO,5
-58.416.093.794.835,-346.093.083.676.771,719,FARMACIA,BARTOLOME MITRE,3501,"MITRE, BARTOLOME 3501","3501 MITRE, BARTOLOME",4867-0202,4865-3185,ALMAGRO,5
-584.213.952.613.525,-346.105.642.818.714,728,FARMACIA,AV MEDRANO,60,MEDRANO AV. 60,60 MEDRANO AV.,,,ALMAGRO,5
-58.416.625.425.775,-346.093.250.533.596,741,FARMACIA,BARTOLOME MITRE,3545,"MITRE, BARTOLOME 3545","3545 MITRE, BARTOLOME",,,ALMAGRO,5
-584.263.638.735.963,-346.136.045.056.057,750,FARMACIA,AV RIVADAVIA,4301,RIVADAVIA AV. 4301,4301 RIVADAVIA AV.,4981-2289,,ALMAGRO,5
-584.302.468.314.557,-346.013.964.267.125,794,FARMACIA,LAMBARE,1076,LAMBARE 1076,1076 LAMBARE,4863-3891,4861-6874,ALMAGRO,5
-584.280.518.254.911,-346.039.868.773.866,807,FARMACIA,SARMIENTO,4449,SARMIENTO 4449,4449 SARMIENTO,4862-5793,4861-6365 o 4861-0124,ALMAGRO,5
-584.264.421.962.404,-346.024.442.345.194,808,FARMACIA,AV CORRIENTES,4371,CORRIENTES AV. 4371,4371 CORRIENTES AV.,4867-5352,,ALMAGRO,5
-584.209.095.842.699,-346.043.886.251.814,814,FARMACIA,AV MEDRANO,533,MEDRANO AV. 533,533 MEDRANO AV.,4862-2316,,ALMAGRO,5
-584.139.435.985.939,-346.125.843.547.683,834,FARMACIA,HIPOLITO YRIGOYEN,3331,"YRIGOYEN, HIPOLITO AV. 3331","3331 YRIGOYEN, HIPOLITO AV.",4862-0363,,ALMAGRO,5
-584.211.327.723.368,-346.065.895.543.311,844,FARMACIA,AV MEDRANO,351,MEDRANO AV. 351,351 MEDRANO AV.,4983-3287,,ALMAGRO,5
-584.287.435.777.599,-346.163.448.913.442,857,FARMACIA,LA PLATA,96,LA PLATA AV. 96,96 LA PLATA AV.,,,ALMAGRO,5
-584.219.872.376.554,-345.979.027.626.553,878,FARMACIA,AV CORDOBA,3902,CORDOBA AV. 3902,3902 CORDOBA AV.,4866-5000,,ALMAGRO,5
-584.284.733.292.661,-346.145.566.423.783,982,FARMACIA,AV RIVADAVIA,4451,RIVADAVIA AV. 4451,4451 RIVADAVIA AV.,,,ALMAGRO,5
-584.200.960.075.593,-346.110.311.567.017,983,FARMACIA,AV RIVADAVIA,3823,RIVADAVIA AV. 3823,3823 RIVADAVIA AV.,,,ALMAGRO,5
-584.199.754.988.279,-346.034.542.794.015,984,FARMACIA,AV CORRIENTES,3920,CORRIENTES AV. 3920,3920 CORRIENTES AV.,,,ALMAGRO,5
-584.245.019.829.879,-346.040.696.590.673,1000,FARMACIA,GASCON,632,GASCON 632,632 GASCON,,,ALMAGRO,5
-584.309.804.588.021,-346.019.919.774.707,1053,FARMACIA,AV CORRIENTES,4647,CORRIENTES AV. 4647,4647 CORRIENTES AV.,,,ALMAGRO,5
-584.239.660.378.146,-346.034.343.283.915,1082,FARMACIA,GASCON,667,GASCON 667,667 GASCON,4862-2968,/20,ALMAGRO,5
-584.278.521.616.313,-346.180.596.159.356,1186,FARMACIA,VENEZUELA,4455,REPUBLICA BOLIVARIANA DE VENEZUELA 4455,4455 REPUBLICA BOLIVARIANA DE VENEZUELA,4983-0271,,ALMAGRO,5
-584.318.060.032.933,-346.018.882.691.677,1207,FARMACIA,AV ESTADO DE ISRAEL,4790,ESTADO DE ISRAEL AV. 4790,4790 ESTADO DE ISRAEL AV.,4862-4679,4866-0611,ALMAGRO,5
-584.212.056.935.537,-346.113.506.295.391,1220,FARMACIA,AV MEDRANO,6,MEDRANO AV. 6,6 MEDRANO AV.,4958-0000,,ALMAGRO,5
-584.223.511.299.862,-346.028.136.847.463,1230,FARMACIA,F. ACUÃ‘A DE FIGUEROA,717,"ACUÃ‘A DE FIGUEROA, FRANCISCO 717","717 ACUÃ‘A DE FIGUEROA, FRANCISCO",4866-4949,,ALMAGRO,5
-584.213.458.454.361,-346.029.546.402.754,1269,FARMACIA,AV CORRIENTES,4025,CORRIENTES AV. 4025,4025 CORRIENTES AV.,4862-2779,,ALMAGRO,5
-584.232.751.401.903,-345.979.839.025.878,1278,FARMACIA,LAVALLE,4098,LAVALLE 4098,4098 LAVALLE,4861-2828,,ALMAGRO,5
-584.302.976.136.689,-34.608.907.590.193,1355,FARMACIA,AV DIAZ VELEZ,4500,DIAZ VELEZ AV. 4500,4500 DIAZ VELEZ AV.,4982-8737,,ALMAGRO,5
-584.232.788.315.289,-34.612.259.046.663,1378,FARMACIA,AV RIVADAVIA,4065,RIVADAVIA AV. 4065,4065 RIVADAVIA AV.,4981-3787,,ALMAGRO,5
-584.184.039.672.758,-346.108.426.017.922,1430,FARMACIA,AV RIVADAVIA,3695,RIVADAVIA AV. 3695,3695 RIVADAVIA AV.,4865-0090,,ALMAGRO,5
-584.213.735.407.535,-346.083.987.270.999,1467,FARMACIA,AV DIAZ VELEZ,3897,DIAZ VELEZ AV. 3897,3897 DIAZ VELEZ AV.,4983-5863,,ALMAGRO,5
-5.842.568.857.091,-346.057.897.655.914,1474,FARMACIA,TENIENTE GENERAL JUAN D PERON,4185,"PERON, JUAN DOMINGO, TTE. GENERAL 4185","4185 PERON, JUAN DOMINGO, TTE. GENERAL",4861-3081,,ALMAGRO,5
-584.239.602.869.091,-346.030.471.948.874,1498,FARMACIA,AV CORRIENTES,4194,CORRIENTES AV. 4194,4194 CORRIENTES AV.,4865-3213,,ALMAGRO,5
-584.161.874.007.657,-346.058.022.599.607,71,FARMACIA,SARMIENTO,3602,SARMIENTO 3602,3602 SARMIENTO,4861-0596,,ALMAGRO,5
-584.305.355.993.158,-346.060.539.784.959,505,FARMACIA,TENIENTE GENERAL JUAN D PERON,4500,"PERON, JUAN DOMINGO, TTE. GENERAL 4500","4500 PERON, JUAN DOMINGO, TTE. GENERAL",4982-0876,,ALMAGRO,5
-584.244.785.436.659,-346.074.194.826.752,876,FARMACIA,POTOSI,4100,POTOSI 4100,4100 POTOSI,4981-6733,4866-5000,ALMAGRO,5
-584.312.376.637.311,-346.190.991.231.819,10,FARMACIA,DOBLAS,228,DOBLAS 228,228 DOBLAS,4901-3252,,CABALLITO,6
-5.842.816.304.167,-346.250.530.668.799,19,FARMACIA,AV PEDRO GOYENA,69,"GOYENA, PEDRO AV. 69","69 GOYENA, PEDRO AV.",4922-0207,,CABALLITO,6
